name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
de graafschap,Holland,,,1001.0,,1001.0,,,,,901.0,,,,,,,,,901.0,,901.0,1001.0,3.85,,
den haag,Holland,,,1001.0,,1001.0,,,,,751.0,,,,,,,,,751.0,,751.0,751.0,3.85,,
heracles,Holland,,,1001.0,,1001.0,,,,,751.0,,,,,,,,,751.0,,751.0,1001.0,3.85,,
roda,Holland,,,1001.0,,1001.0,,,,,801.0,,,,,,,,,801.0,,801.0,751.0,3.85,,
sbv excelsior,Holland,,,1001.0,,1001.0,,,,,901.0,,,,,,,,,901.0,,901.0,1001.0,3.85,,
porto,Portugal,2.1,2.1,2.0,2.2,2.0,2.2,2.1,2.1,2.1,2.15,2.1,2.1,2.1,2.1,2.1,2.1,2.05,2.1,2.15,2.1,2.15,,1.99,,
benfica,Portugal,2.75,2.38,2.25,2.2,2.25,2.1,2.2,2.1,2.1,2.3,2.5,2.5,2.38,2.2,2.2,2.25,2.35,2.2,2.3,2.75,2.3,,2.84,,
sporting lisbon,Portugal,4.75,5.5,6.0,7.0,6.0,7.0,7.0,6.5,6.5,6.0,7.0,5.5,5.5,6.5,6.0,7.0,5.25,6.5,6.0,4.75,6.0,,4.42,,
braga,Portugal,81.0,67.0,67.0,67.0,67.0,67.0,67.0,101.0,67.0,67.0,101.0,67.0,81.0,67.0,34.0,67.0,74.0,67.0,67.0,81.0,67.0,,28.0,,
maritimo,Portugal,201.0,151.0,251.0,201.0,251.0,201.0,,226.0,151.0,151.0,251.0,251.0,251.0,151.0,67.0,201.0,190.0,151.0,151.0,201.0,151.0,,48.0,,
nacional madeira,Portugal,201.0,151.0,251.0,151.0,251.0,201.0,,226.0,151.0,151.0,251.0,,251.0,151.0,101.0,151.0,190.0,151.0,151.0,201.0,151.0,,81.0,,
pacos ferreira,Portugal,201.0,201.0,251.0,201.0,251.0,201.0,,226.0,201.0,201.0,251.0,251.0,251.0,151.0,251.0,251.0,200.0,151.0,201.0,201.0,201.0,,95.0,,
belenenses,Portugal,201.0,251.0,501.0,301.0,501.0,201.0,,226.0,251.0,301.0,501.0,501.0,501.0,151.0,101.0,501.0,301.0,151.0,301.0,301.0,301.0,,81.0,,
estoril,Portugal,251.0,251.0,501.0,301.0,501.0,251.0,,226.0,251.0,251.0,501.0,251.0,501.0,251.0,101.0,251.0,301.0,251.0,251.0,351.0,251.0,,81.0,,
boavista,Portugal,251.0,251.0,501.0,301.0,501.0,251.0,,376.0,301.0,501.0,501.0,501.0,501.0,251.0,301.0,251.0,401.0,251.0,501.0,351.0,501.0,,95.0,,
