name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Vitoria Setubal,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,,
Pacos Ferreira,Portugal,,,,,,,,,,,,,,,,,,,,,162.0,,
Fenerbahce,Turkey,,,,,,,1.57,1.67,,,,,,1.9,,,,,,,1.03,,
Galatasaray,Turkey,,,,,,,3.25,3.0,,,,,,2.5,,,,,,,2.04,,
Besiktas,Turkey,,,,,,,8.0,7.0,,,,,,6.5,,,,,,,2.95,,
Trabzonspor,Turkey,,,,,,,51.0,34.0,,,,,,26.0,,,,,,,1.95,,
Kasimpasa,Turkey,,,,,,,21.0,34.0,,,,,,67.0,,,,,,,3.38,,
Bursaspor,Turkey,,,,,,,151.0,101.0,,,,,,41.0,,,,,,,32.0,,
Eskisehirspor,Turkey,,,,,,,,101.0,,,,,,151.0,,,,,,,32.0,,
Kayserispor,Turkey,,,,,,,,,,,,,,151.0,,,,,,,32.0,,
Akhisar,Turkey,,,,,,,,,,,,,,,,,,,,,3.38,,
Elazigspor,Turkey,,,,,,,,,,,,,,,,,,,,,3.38,,
Erciyesspor,Turkey,,,,,,,,,,,,,,,,,,,,,3.38,,
Karabukspor,Turkey,,,,,,,,,,,,,,,,,,,,,3.38,,
Konyaspor,Turkey,,,,,,,,,,,,,,,,,,,,,3.38,,
Sivasspor,Turkey,,,,,,,,,,,,,,,,,,,,,3.38,,
Antalyaspor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,,
Gaziantepspor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,,
Genclerbirligi,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,,
Rizespor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,,
