name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Swansea,England,1501.0,1501.0,1501.0,1501.0,1501.0,2001.0,2501.0,1001.0,1001.0,1500.0,2501.0,2501.0,2001.0,2001.0,1001.0,2001.0,1500.0,2001.0,2001.0,2501.0,660.0,950.0,950.0,
Newcastle,England,1001.0,1001.0,2001.0,1001.0,2001.0,1501.0,1501.0,1001.0,2001.0,1500.0,3001.0,2501.0,1501.0,1501.0,2001.0,2001.0,1500.0,2501.0,1001.0,2501.0,660.0,950.0,950.0,
West Ham,England,2501.0,2001.0,2001.0,2001.0,2001.0,2001.0,2501.0,2001.0,1501.0,2500.0,3001.0,3001.0,2001.0,2001.0,2001.0,2501.0,2500.0,2501.0,2001.0,3001.0,660.0,950.0,950.0,
Fulham,England,2501.0,2001.0,2001.0,2501.0,2001.0,2001.0,2501.0,2001.0,1501.0,3000.0,4001.0,4001.0,3001.0,2501.0,2001.0,3001.0,3000.0,3001.0,2001.0,3001.0,660.0,950.0,950.0,
West Brom,England,3001.0,2001.0,2001.0,2001.0,2001.0,2001.0,2501.0,2001.0,1001.0,3000.0,4001.0,4001.0,2501.0,2501.0,2001.0,3001.0,3000.0,4001.0,2001.0,3001.0,660.0,950.0,950.0,
Norwich,England,5001.0,3001.0,2501.0,,2501.0,5001.0,3001.0,5001.0,2501.0,5000.0,5001.0,5001.0,5001.0,2501.0,3001.0,5001.0,5000.0,5001.0,5001.0,4001.0,660.0,950.0,950.0,
Stoke,England,2501.0,2001.0,2501.0,,2501.0,2001.0,3001.0,4001.0,1501.0,3000.0,5001.0,2501.0,4001.0,2501.0,3001.0,3001.0,3000.0,5001.0,2501.0,4001.0,660.0,950.0,950.0,
Cardiff,England,5001.0,5001.0,5001.0,,5001.0,5001.0,5001.0,3001.0,5001.0,5000.0,7501.0,5001.0,5001.0,5001.0,3001.0,5001.0,5000.0,5001.0,5001.0,5001.0,660.0,950.0,950.0,
Hull,England,5001.0,7501.0,5001.0,,5001.0,5001.0,7501.0,7501.0,5001.0,7500.0,7501.0,7501.0,7501.0,5001.0,5001.0,7501.0,7500.0,7501.0,7501.0,5001.0,660.0,950.0,950.0,
Sunderland,England,7501.0,2001.0,2501.0,,2501.0,2001.0,3001.0,5001.0,1501.0,5000.0,7501.0,7501.0,3001.0,5001.0,3001.0,5001.0,5000.0,7501.0,7501.0,4001.0,660.0,950.0,950.0,
Crystal Palace,England,10001.0,10001.0,7501.0,,7501.0,5001.0,10001.0,10001.0,5001.0,7500.0,10001.0,10001.0,10001.0,7501.0,7501.0,10001.0,7500.0,8001.0,10001.0,5001.0,660.0,950.0,950.0,
PSG,France,1.4,1.44,1.4,1.44,1.4,1.4,1.36,1.4,1.4,1.4,1.44,,1.36,1.4,1.4,1.35,1.4,1.4,,,1.34,1.45,1.43,
Monaco,France,3.0,3.0,3.25,3.0,3.25,3.0,3.0,3.25,3.25,3.35,3.0,,3.0,3.0,3.0,3.2,3.35,2.9,,,2.94,3.47,3.23,
Marseille,France,29.0,23.0,19.0,23.0,19.0,21.0,21.0,26.0,21.0,25.0,26.0,,26.0,21.0,26.0,20.0,25.0,31.0,,,22.0,25.0,23.0,
Lyon,France,81.0,51.0,51.0,51.0,51.0,51.0,41.0,56.0,51.0,75.0,51.0,,67.0,51.0,67.0,61.0,75.0,81.0,,,56.0,76.0,63.0,
St Etienne,France,41.0,51.0,51.0,51.0,51.0,67.0,51.0,51.0,51.0,60.0,81.0,,81.0,51.0,81.0,61.0,60.0,81.0,,,68.0,81.0,76.0,
Lille,France,101.0,81.0,67.0,67.0,67.0,67.0,51.0,67.0,81.0,100.0,81.0,,101.0,67.0,81.0,61.0,100.0,101.0,,,46.0,52.0,49.0,
Nice,France,151.0,201.0,151.0,126.0,151.0,151.0,151.0,101.0,201.0,250.0,251.0,,251.0,151.0,251.0,251.0,250.0,201.0,,,68.0,90.0,78.0,
Rennes,France,151.0,151.0,126.0,126.0,126.0,201.0,201.0,101.0,151.0,250.0,251.0,,201.0,201.0,251.0,301.0,250.0,251.0,,,64.0,81.0,72.0,
Toulouse,France,401.0,401.0,501.0,401.0,501.0,301.0,501.0,501.0,401.0,500.0,501.0,,501.0,501.0,501.0,501.0,500.0,501.0,,,64.0,81.0,72.0,
Lorient,France,501.0,401.0,401.0,401.0,401.0,301.0,301.0,401.0,251.0,500.0,501.0,,301.0,501.0,501.0,501.0,500.0,501.0,,,72.0,90.0,82.0,
Bordeaux,France,401.0,251.0,201.0,301.0,201.0,201.0,301.0,401.0,201.0,400.0,501.0,,251.0,251.0,251.0,301.0,400.0,501.0,,,134.0,171.0,165.0,
Montpellier,France,251.0,251.0,301.0,251.0,301.0,251.0,501.0,301.0,301.0,500.0,501.0,,301.0,351.0,251.0,601.0,500.0,501.0,,,205.0,295.0,266.0,
Bastia,France,501.0,751.0,751.0,,751.0,501.0,751.0,501.0,501.0,1000.0,1001.0,,751.0,751.0,1001.0,1001.0,1000.0,1001.0,,,64.0,81.0,72.0,
Reims,France,401.0,751.0,751.0,,751.0,751.0,1001.0,501.0,1001.0,750.0,1001.0,,1001.0,751.0,1001.0,751.0,750.0,1001.0,,,64.0,81.0,72.0,
Sochaux,France,751.0,751.0,1001.0,,1001.0,751.0,1001.0,501.0,1001.0,1500.0,1001.0,,1001.0,751.0,1001.0,1201.0,1500.0,1001.0,,,64.0,81.0,72.0,
Valenciennes,France,1001.0,751.0,1001.0,,1001.0,501.0,501.0,501.0,501.0,1500.0,1001.0,,751.0,751.0,1001.0,1001.0,1500.0,1001.0,,,64.0,81.0,72.0,
Ajaccio,France,751.0,1001.0,1001.0,,1001.0,1001.0,1001.0,501.0,1001.0,1000.0,1501.0,,1501.0,751.0,1501.0,1201.0,1000.0,1501.0,,,64.0,81.0,72.0,
Evian,France,1001.0,1001.0,751.0,,751.0,751.0,1001.0,501.0,1001.0,1000.0,1501.0,,1001.0,751.0,1501.0,801.0,1000.0,1501.0,,,64.0,81.0,72.0,
Guingamp,France,1251.0,1001.0,1251.0,,1251.0,1001.0,1501.0,501.0,1001.0,1500.0,2001.0,,1501.0,1001.0,2001.0,1501.0,1500.0,2001.0,,,64.0,81.0,72.0,
Nantes,France,751.0,1251.0,1001.0,,1001.0,,1001.0,501.0,1001.0,1000.0,2001.0,,1501.0,751.0,2001.0,1301.0,1000.0,2001.0,,,64.0,81.0,72.0,
Juventus,Italy,1.62,1.67,1.62,1.62,1.62,1.62,1.67,1.62,1.62,1.6,1.67,,1.57,1.62,,1.65,1.6,1.62,,1.6,,1.67,1.62,
Napoli,Italy,5.0,5.0,5.0,5.0,5.0,5.2,4.5,4.5,6.0,5.0,5.0,,5.0,5.0,,5.0,5.0,5.0,,5.0,4.7,4.89,4.71,
